szczegółowo	in detail
skupiać się (wymowa)	to focus
w Zjednoczonym Królestwie	in the UK
być na prowizji	to work on commission
dalej	further
w pracy	at work
w mojej pierwszej pracy	in my first job
pracodawca	an employer
reagować na coś	to react to sth
w ostatni piątek	last Friday
pan młody	a groom
jedna trzecia	one third
samogłoska	a vowel
panna młoda	a bride
mieć coś zrobić	to be supposed to do sth
mieć w zwyczaju coś robić	to be used to doing sth
żyła	a vein
wierny	faithful
po pracy	after work
przygotowywać się do czegoś	to get prepared for sth
na stanowisku	in the position
płynność	fluency
w następną środę	next Wednesday
trzeźwy	sober
strzelnica	a rifle range
być na kacu	to be hungover
słuchać kogoś	to listen to sb
zdobywać czyjeś zaufanie	to earn sb's trust
wiedza (wymowa)	knowledge
przeklinać [2]	to curse; to swear
mówić coś więcej o czymś	to elaborate on sth
zdrowieć [2]	to recover; to get better
chodzić spać	to go to sleep
zatrzymywać kogoś	to detain sb
narzeczony (wymowa)	a fiance
ten drugi	the other one
odcinek	an episode
robić niespodziankę	to make a surprise
poronić	to miscarry
rodzić dziecko	to give birth to a child
godzić się z kimś [2]	to reconcile with sb; to make up with sb
agent nieruchomości	a real estate agent
pojawiać się [2]	to appear; to show up
oskarżać kogoś o coś	to accuse sb of sth
ciotka (wymowa)	an aunt
rocznica	an anniversary
masza święta	a Mass
ołtarz	an altar
kran	a faucet
poręcz	a handrail
na początku	at first
w ciągu miesiąca	within a month
wpływać na coś	to influence sth
mieć wpływ na coś	to have influence on sth
opieprzać kogoś	to tell sb off
kierunek (studiów)	a program
przedmiot akademicki	a course
doświadczenie zawodowe	work experience
zestresowany	stressed-out
panikować	to be in panic
o północy	at midnight
następnego dnia	(on) the next day
płytki	tiles
gniazdko [2]	an outlet; a socket
rura	a pipe
﻿robić grilla	to have a barbecue
zrzucać na kogoś winę	to put the blame on sb
zainteresowania	interests
iść na siłownię	to go to the gym
uczęszczać do szkoły	to attend school
brać udział w spotkaniu	to attend a meeting
zazdrosny	jealous
wsparcie	support
rozgrzewać się	to warm up
flirtować (wymowa)	to flirt
przedszkole	a kindergarten
zmusić kogoś do zrobienia czegoś	to force sb to do sth
terapeuta	a therapist
przebierać się za coś	to dress up as sth
przeszukiwać kogoś	to search sb
ostatecznie	eventually
pierwsza osoba, która coś zrobiła	the first person to do sth
ofiara	a victim
kierunkowskaz	an indicator
zwrot akcji	a twist in the plot
zagadka	a puzzle
robić notatki	to take notes
spółka matka	a parent company
interesować się czymś	to be interested in sth
popełnić samobójstwo	to commit suicide
rodzić	to be in labor
zaczynać rodzić	to go to labor
w ten piątek	this Friday
przypadkowo [2]	accidentally; by accident
nie być czymś zainteresowanym	to have no interest in sth
zdradzać kogoś	to cheat on sb
kłócić się z kimś [2]	to have an argument; to fall out
krzyczeć na kogoś [2]	to shout at sb; to scream at sb
potrącać kogoś	to knock sb down
uciekać	to flee
gapić się na kogoś	to stare at sb
zamykać drzwi	to shut the door
sejf	a safe
wpadać (do kogoś) [2]	to drop by; to come over
wpadać do kogoś	to drop in on sb
zastrzelić kogoś	to shoot sb dead
udawać się do szpitala	to go to the hospital
Rumunia	Romania
raz na dwa tygodnie	once every other week
odpowiadać na pytanie	to answer a question
skurcze	contractions
wracać do domu	to come back home
mieć ból głowy	to have a headache
węzeł chłonny	a lymph node
iść do lekarza	to go to the doctor
w internecie	on the Internet
bujać się w kimś	to be into sb
przyzwyczajać się do czegoś	to get used to sth
zjeżdżalnia	a slide
rozpowiadać coś	to spread sth
plotki	gossip
kolega z pracy	a colleague
półtorej godziny	an hour and a half
wprowadzać produkt na rynek	to launch a product; to roll out a product
zajmować się kimś	to take care of sb
towarzyski	sociable
mieć wiedzę z czegoś	to have knowledge of sth
mądrala	a know-it-all
znosić kogoś [2]	to stand sb; to put up with sb
zainteresowywać kogoś	to make sb interested
wyrażać siebie	to express myself
stanowić zagrożenie dla czegoś	to pose a risk to sth
osiągnięcie	an achievement
inwestować w coś	to invest in sth
widoczny	visible
zgodnie z planem	according to the plan
ganek	a porch
niepewny	insecure
rolety	roller blinds
apostrof	an apostrophe
zastawiać pułapkę	to set a trap
iść na randkę	to go on a date
wpadać na pomysł	to come up with an idea
zagraniczny	foreign
skierowanie do lekarza	a referral to the doctor
podczas jazdy	while driving
wycieńczający	draining
wypowiadać umowę	to terminate an agreement
właściciel	a landlord
lokator	a tenant
okres wypowiedzenia	a notice period
salon	a living room
rozwiązanie problemu	a solution to a problem
drużba	the best man
na zdjęciu	in the picture
kłócić się o coś [2]	to have an argument over sth; to fall out over sth
nawalić się (upić się)	to get wasted
podchmielony	tipsy
naćpany	stoned
ankieta	a survey
kłaść czemuś kres	to put sth to an end
dyrektor (szkoły)	a principal
pół godziny	half an hour
ogrzewanie	heating
klimatyzacja	air-conditioning
meldować się u kogoś (dawać znać lub sprawdzać, czy ktoś ma się dobrze)	to check in with sb
ciągnąć się	to drag on
przestrzeń	room
proces rekrutacyjny	a recruitment process
prowadzić spotkanie	to run a meeting
oparty na czymś	based on sth
być dla kogoś dobrą partią	to be a good match for sb
siedzieć przy stole	to sit at the table
kończyć pracę	to finish work
zaczynać pracę	to start work
panele podłogowe	floor panels
wyruszać	to set out
tylne siedzenie	a backseat
pralka	a washing machine
zmywarka	a dishwasher
artykuły gospodarstwa domowego	household appliances
płyta indukcyjna	an induction cooktop
robić postępy	to make progress
nakrywać do stołu	to set the table
czuć się dobrze (o nastroju)	to feel good
czuć się dobrze (zdrowo)	to feel well
napięty	tense
czas (w gramatyce)	a tense
napięcie	tension
namawiać kogoś do czegoś	to talk sb into sth
namawiać kogoś, żeby czegoś nie robił	to talk sb out of sth
całować się z kimś	to make out with sb
rozumieć coś (nie: understand)	to grasp sth
zaliczyć zgon	to have a blackout
szafa	a wardrobe
odbierać telefon	to pick up the phone
rozłączać się	to hang up
rzucić słuchawkę (podczas rozmowy z kimś)	to hang up on sb
walka	a fight; a struggle
wspólny znajomy	a mutual friend
odbierać kogoś z lotniska	to pick sb up from the airport
jak zwykle	as usual
rukola	arugula
stała cena	a fixed price
robić sobie przerwę	to take a break
chować kogoś (grzebać)	to bury sb
łapówka	a bribe
bukiet	a bouquet
u mnie	at my place
wpłacać pieniądze	to deposit money
zły na kogoś [2]	angry with sb; mad at sb
zamożny [2]	wealthy; well-off
dołączać do zespołu	to join the team
wezwanie do sądu	a subpoena
wzywać kogoś do sądu	to subpoena sb
prokurator	a prosecutor
zeznawać	to testify
ciężki dzień	a busy day
płot	a fence
ograniczać coś	to cut down on sth
schody	stairs
klatka schodowa	a stair case
podwórko	a yard
działka	a plot
podjazd	a driveway
kostka brukowa	a cobblestone
kopać dziurę	to dig a hole
słup	a pole
pręt	a bar
siatka	a net; a mesh
równy (o terenie)	even
sąd	a court
przestawać coś robić	to stop doing sth
zatrzymywać się, żeby coś zrobić	to stop to do sth
szafka	a locker
zazdrosny o kogoś	jealous of sb
przesłuchiwać kogoś [2]	to question sb; to interrogate sb
śmierć	a death
umierać	to die
martwy	dead
przyczyniać się do czegoś	to contribute to sth
zgłaszać coś	to report sth
mieć z kimś dobre stosunki	to have a good rapport with sb
dogadywać się z kimś	to get along with sb
przewracać się reponsibilities komuś	to turn over the reponsibilities to sb
brać nadgodziny	to work overtime
zapraszać kogoś na imprezę	to invite sb to a party
do balansuje na krawędzi czegoś	to teeter on the brink of sth
pracować zdalnie	to work remotely
chwalić się czegoś	to brag about sth
możliwość poprawy	room for improvement
nadrabiać zaległości	to catch up with sth
zrobić dobrą pracę	to do a good a job
przedłużyć kontrakt	to extend a contract
wygasać	to expire
wynajem	a hire
dostawać podwyżkę	to get a pay-raise
inwestować w sb	to invest in sb
mieć duże doświadczenie w czymś	to have a wide experience in sth
przygotowywać się na spotkanie	to get prepared for a meeting
robić krok	to take a step
racjonalny	rational
komplikacja	a setback
na początku [2]	at first; in the beginning
wdrażać kogoś	to onboard sb
pochopna decyzja	a hasty decision
w przyszłości	in the future
rozszerzać działalność	to expand a business
adwokat	an attorney
zaliczka	an advance payment
z góry	in advance
otrzymywać zwrot pieniędzy	to get a refund
dotrzymywać terminu	to meet a deadline
znaleźć punkt zaczepienia	to gain a foothold
dowody	evidence
podziwiać coś	to admire sth
w drodze do domu	on my way home
notariusz	a notary
niejasny	vague
żmudny [2]	arduous; daunting
w najbliższej przyszłości	in the nearest future
w ciągu tygodnia	within a week
nielogiczny	illogical
zarysować coś	to scratch sth
związywać kogoś	to tie sb up
zeznania	a testimony
krzywoprzysięstwo	perjury
sprawca	a perpetrator
być poszukiwanym (przez policję)	to be wanted
skazywać kogoś	to convict sb
uniewinniać kogoś	to acquit sb
psycholog	a psychologist
wchodzić do pokoju	to enter the room
termostat	a thermostat
piec(do ogrzewania domu) [2]	a stove; a furnace
wymawiać słowo	to pronounce a word
wsiadać do pociągu	to get on the train
pozbywać się czegoś [2]	to get rid of sth; to ditch sth
wodować (awaryjnie)	to ditch
złomowisko	a junkyard
wysypisko	a dump
uciekać [2]	to run away; to flee
odkładać coś na później [2]	to postpone sth; to put sth off
odwoływać spotkanie [2]	to cancel a meeting; to call off a meeting
wychodzić z pokoju	to leave the room
wychodzić z domu	to leave the house
wchodzić do domu	to enter the house
węgiel	coal
wózek dla dziecka	a baby carriage
bazować na czymś	to be based on sth
popierać kogoś	to back sb up
wpadać na coś	to crash into sth
wysiadać z samochodu	to get out of the car
wsiadać do auta	to get in the car
wysiadać z pociągu	to get off the train
bagażnik	a trunk
kontynuować	to proceed
błotnik	a fender
zderzak	a bumper
gmina	a commune
rozpraszać kogoś	to distract sb
benzyna	gas(oline)
wynosić śmieci	to take out the garbage
z jednej strony	on one hand
społeczność	a community
wpadać w pułapkę	to get trapped
dźgać kogoś nożem	to stab sb with a knife
szpiegować kogoś	to spy on sb
porzucać niemowlę	to abandon a baby
zamarzać	to freeze
noworodek	a newborn
pomoc medyczna	medical attention
ławka	a bench
zbliżać się do czegoś	to approach sth
dzwonić po karetkę	to ring up for an ambulance
lekarz rodzinny	a GP
zgłaszać się	to come forward
wypłacać wygraną zwycięzcy	to pay out the prize money to the winner
rzekomo	allegedly
nagranie	footage
być wtrąconym do aresztu	to be taken into custody
być o coś oskarżonym	to be charged with sth
znaczna suma	a substantial sum
nagroda	a prize
nabyty zgodnie z prawem	lawfully acquired
nieodebrana nagroda	an unclaimed prize
ostatecznie (nie: finally; eventually)	ultimately
